,Names,Loction,No of Courses,Entrance Exam,Ratings,fee,No of Seats
0,"S.B Patil Institute of Management, Pimpri Chinchwad Educations Trust's", Pune,1, CAT ,4.0,229999,180
1,Techno Main Salt Lake, Kolkata,1, MAT ,3.0,517000,120
2,National Institute of Bank Management (NIBM), Pune,1, CAT ,4.5,840000,120
3,MITCON Institute of Management, Pune,3, CAT ,3.6,560000,240
4,"G.H. Patel Postgraduate Institute of Business Management, Sardar Patel University",Gujarat - Other,1, CAT ,4.0,24000,80
5,Indian Academy School of Management Studies, Bangalore,1, CAT ,4.4,459999,120
6,GNIOT Group of Institutions,Greater Noida,5, CAT ,3.9,172000,222
7,Bharatiya Vidya Bhavan Institute of Management Science - BIMSKOL, Kolkata,1, CAT ,3.8,495000,120
8,PES College of Engineering,Karnataka - Other,1, Karnataka PGCET ,4.0,117000,60
9,"Don Bosco Institute Of Technology, Bangalore", Bangalore,1, Karnataka PGCET ,3.0,117000,60
10,SSIM - Siva Sivani Institute of Management, Hyderabad,4, CAT ,4.0,660000,420
11,IAMR - Institute of Advanced Management and Research,Ghaziabad,2, CAT ,4.5,119000,300
12,Francis Xavier Engineering College,Tirunelveli,1, TANCET MBA ,1.9,35000,60
13,Jaipur National University,Jaipur,4, CAT ,3.8,270000,60
14,Nehru Institute of Information Technology and Management,Coimbatore,1, TANCET ,4.0,240000,60
15,Amrapali Group of Institutes,Haldwani,1, CAT ,4.1,277000,60
16,JECRC University,Jaipur,20, CAT ,2.7,125000,210
17,Chetana's Institute of Management and Research, Mumbai,3, CAT ,3.9,715000,270
18,JIMS - Jagan Institute of Management Studies,Jaipur,1, CAT ,3.9,645000,90
19,T. John Group of Institutions, Bangalore,2, Karnataka PGCET ,4.0,492000,180
20,"SAGE University, Indore",Indore,13, SEE ,4.2,120000,780
21,I Business Institute,Greater Noida,1, CAT ,4.7,720000,180
22,"All India Shri Shivaji Memorial Society's, Institute of Management", Pune,1, CAT ,3.8,229999,180
23,Indirapuram Institute of Higher Studies (IIHS Ghaziabad),Ghaziabad,1, CAT ,3.7,434000,90
24,Disha Institute of Management and Technology,Raipur,1, CAT ,4.3,214000,270
25,Poddar Group of Institutions,Jaipur,1, CAT ,4.4,400000,108
26,"Sambhram Academy of Management Studies (SAMS, Bangalore)", Bangalore,1, Karnataka PGCET ,3.7,117000,180
27,Netaji Subhas University,Jamshedpur,1, CAT ,4.0,270000,120
28,GNVS Institute of Management, Mumbai,1, CAT ,4.4,355000,120
29,Institute of Information Technology & Management, Delhi,1, CAT ,3.1,288000,60
30,MGM Institute of Management and Research,Aurangabad,1, CAT ,3.9,267000,180
31,Hindusthan Institute of Technology,Coimbatore,1, TANCET MBA ,3.4,35000,60
32,S.V. Institute of Management,Mehsana,3, CAT ,4.3,194000,180
33,People's Institute of Management and Research,Bhopal,5, CAT ,3.5,140000,150
34,ITM Group of Institutions,Kannur,1, CAT ,2.3,217000,90
35,Swayam Siddhi College of Management and Research (SSCMR), Thane,1, CAT ,5.0,220000,120
36,Kanpur Institute of Technology,Kanpur,1, NTA ,4.7,119000,120
37,Shri Jairambhai Patel Institute of Business Management and Computer Applications,Gandhinagar,1, CAT ,4.5,196000,120
38,ASM's Institute of Business Management and Research, Pune,5, CAT ,4.3,480000,720
39,Administrative Staff College of India, Hyderabad,2, CAT ,4.7,600000,120
40,SJB Institute of Technology, Bangalore,1, Karnataka PGCET ,4.0,117000,120
41,SRBS - Sheila Raheja School of Business Management & Research, Mumbai,1, CAT ,4.1,296000,120
42,GNIOT - Greater Noida Institute of Technology,Greater Noida,4, UPCET ,3.7,279000,348
43,Banasthali Vidyapith,Jaipur,1, Banasthali University Aptitude Test ,4.3,278000,360
44,Bengal Institute of Business Studies, Kolkata,6, CAT ,4.3,308000,850
45,Lotus Business School, Pune,4, CAT ,3.0,208000,270
46,The Oxford College of Engineering, Bangalore,1, Karnataka PGCET ,4.1,117000,120
47,Shivajirao Kadam Institute of Technology & Management,Indore,2, CMAT ,3.7,144000,180
48,Acropolis Faculty of Management and Research,Indore,1, CMAT ,4.8,130000,300
49,BLDEA's A S Patil College of Commerce(Autonomous),Bijapur,1, Karnataka PGCET ,2.0,117000,120
50,Sagar Institute of Research and Technology,Bhopal,1, CMAT ,3.2,65000,180
51,SIMCA - Sinhgad Institute of Management and Computer Application, Pune,1, CAT ,3.3,256000,240
52,Royal Global University,Guwahati,5, CAT ,4.8,440000,60
53,SIOM - Sinhgad Institute of Management, Pune,1, CAT ,3.6,276000,600
54,"CMR Institute of Technology, Bangalore", Bangalore,1, CAT ,4.0,117000,120
55,Maharishi Arvind School of Management Studies,Jaipur,1, CAT ,3.3,115999,120
56,Acropolis Institute of Technology and Research,Indore,2, CMAT ,3.6,139000,120
57,Deogiri Institute of Engineering and Management Studies,Aurangabad,1, CAT ,4.3,162000,180
58,"GITAM School of Business, Hyderabad", Hyderabad,5, CAT ,3.5,900000,120
59,Thakur Global Business School, Mumbai,1, CAT ,4.1,960000,120
60,"Indira College of Engineering and Management, Indira Group of Institutes", Pune,2, CAT ,4.5,317000,60
61,Datta Meghe Institute of Management Studies,Nagpur,1, CAT ,4.1,240000,180
62,Jayawant Institute of Management Studies, Pune,1, CAT ,4.4,210000,120
63,Astha School of Management,Bhubaneswar,1, CAT ,3.5,200000,180
64,LBSIM - Lal Bahadur Shastri Institute of Management and Technology,Bareilly,1, CAT ,4.5,294000,90
65,SBS - Sinhgad Business School, Pune,1, CAT ,4.2,300000,300
66,NITTE School of Management - NSOM, Bangalore,2, CAT ,4.0,575000,150
67,IES College of Technology,Bhopal,1, CMAT ,2.0,110000,180
68,Global Business School,Hubli,1, Karnataka PGCET ,3.5,117000,120
69,Adichunchanagiri Institute of Technology,Chikkamagaluru,1, Karnataka PGCET ,5.0,117000,60
70,Albertian Institute of Management,Kochi,1, CAT ,3.7,375000,60
71,"Assam University, Silchar",Silchar,3, CAT ,3.4,20700,140
72,G S College of Commerce and Economics,Nagpur,1, CAT ,4.0,180000,60
73,The NorthCap University,Gurgaon,2, CAT ,4.0,710000,100
74,Anurag University, Hyderabad,2, TSICET ,4.0,100000,240
75,"ISB&M - International School of Business and Media, Kolkata", Kolkata,6, CAT ,4.3,860000,200
76,S.A. Engineering College, Chennai,1, CAT ,3.6,35000,120
77,T. John Institute of Management and Science, Bangalore,1, CAT ,3.9,608000,120
78,"IBMR Business School, Hubli",Hubli,2, CAT ,3.5,400000,120
79,K.L.E. Society's Institute of Management Studies and Research (KLESIMSR ),Hubli,1, Karnataka PGCET ,2.0,117000,120
80,Seshadripuram Institute of Management Studies, Bangalore,1, Karnataka PGCET ,3.0,117000,120
81,SEC - Saveetha Engineering College, Chennai,1, CAT ,4.0,70000,120
82,Happy Valley Business School,Coimbatore,1, TANCET ,4.6,310000,120
83,ASBM University,Bhubaneswar,10, CAT ,4.3,441000,120
84,MKBU - Maharaja Krishnakumarsinhji Bhavnagar University,Bhavnagar,4, CAT ,2.5,84000,147
85,Siddaganga Institute of Technology,Tumkur,1, Karnataka PGCET ,4.6,117000,120
86,"Lakshmi Narain College of Technology, Indore",Indore,1, CAT ,2.5,110000,180
87,Sagar Institute of Research and Technology- Excellence,Bhopal,1, CMAT ,3.5,109000,180
88,Shri Vaishnav Institute of Management,Indore,4, CMAT ,4.1,120000,330
89,SMJV's C K Shah Vijapurwala Institute of Management,Vadodara,2, CAT ,2.1,160000,120
90,A.J. Institute of Management,Mangalore,1, Karnataka PGCET ,3.0,117000,180
91,DIT University,Dehradun,2, CAT ,3.9,306000,60
92,MMM's Institute of Management Education Research and Training, Pune,3, CAT ,3.8,224000,270
93,Tapmi School of Business,Jaipur,1, CAT ,4.4,867000,60
94,Kakatiya Institute of Technology and Science,Warangal,1, TSICET ,1.0,120000,60
95,MKSS’s Smt. Hiraben Nanavati Institute of Management and Research for Women, Pune,1, CAT ,3.8,380000,180
96,Indira Institute of Business Management, Mumbai,1, CAT ,4.0,240000,120
97,MES Advanced Institute of Management and Technology,Kochi,1, CMAT ,3.0,180000,120
98,BLDEA's A S Patil College of Commerce,Bijapur,2, CMAT ,3.7,20000,90
99,Dr. N.G.P. Institute of Technology,Coimbatore,1, TANCET MBA ,3.8,35000,120
100,Dr. Lankapalli Bullayya College,Visakhapatnam,1, APICET ,3.5,70000,120
101,RMD Sinhgad School of Management Studies, Pune,1, CAT ,4.2,172000,180
102,Mahatma Jyotiba Phule Rohilkhand University,Bareilly,4, UPCET ,2.4,8000,160
103,Vidya Knowledge Park,Meerut,2, CAT ,3.7,119000,150
104,Indira Global Business School, Pune,1, CAT ,3.8,352000,60
105,Vidyavardhaka College of Engineering,Mysore,1, Karnataka PGCET ,3.9,117000,120
106,"Rayat Institute of Management, S.B.S Nagar",Punjab - Other,1, CMAT ,2.0,165000,60
107,H.K. Institute of Management Studies and Research, Mumbai,2, CAT ,1.0,204000,180
108,KSR Educational Institutions,Namakkal,2, MAT ,2.3,35000,120
109,Hindustan Institute of Management and Computer Studies,Mathura,2, CAT ,4.0,119000,150
110,Dr. Panjabrao Deshmukh Institute of Management Technology and Research,Nagpur,1, CAT ,4.0,160000,120
